study_id,missing_pages_pct,missing_visits_pct,unresolved_edrr_pct,uncoded_terms_pct,pending_sae_pct,file_count,row_count
Study_7806,0.6,4.66,0.0,0.0,0.0,1,665
Study_7816,80.0,80.0,0.0,0.0,0.0,1,15
Study_7926,0.0,0.0,0.0,0.0,0.0,1,518
Study_7948,0.0,0.0,0.0,0.0,0.0,1,15
Study_7966,0.0,0.0,0.0,0.0,0.0,1,1
Study_7994,100.0,0.0,0.0,0.0,0.0,1,5093
Study_8006,0.0,0.0,0.0,0.0,0.0,1,354
Study_8024,100.0,0.0,0.0,0.0,0.0,1,700
Study_8096,19.61,9.8,0.0,0.0,0.0,1,102
Study_8122,18.43,1.38,0.0,0.0,0.0,1,217
Study_8258,129.69,104.69,0.0,0.0,0.0,1,64
Study_8280,0.0,0.0,0.0,0.0,0.0,1,2
Study_8362,0.0,0.0,0.0,0.0,0.0,2,948
Study_8415,29.27,14.63,0.0,0.0,0.0,1,41
Study_8418,0.0,0.0,0.0,0.0,0.0,1,23
Study_8433,0.61,0.46,0.0,0.0,0.0,1,656
Study_8439,0.0,0.0,0.0,0.0,0.0,1,357
Study_8456,0.0,0.0,0.0,0.0,0.0,1,85
Study_8457,0.0,0.0,0.0,0.0,0.0,1,8
Study_8511,0.0,0.0,0.0,0.0,0.0,1,208
Study_8527,0.0,0.0,0.0,0.0,0.0,1,42
Study_8561,15.38,11.54,0.0,0.0,0.0,1,26
Study_8567,0.0,0.0,0.0,0.0,0.0,1,5
Study_8795,0.0,0.0,0.0,0.0,0.0,1,349
Study_8927,0.0,0.0,0.0,0.0,0.0,1,3
Study_8950,41.24,15.46,0.0,0.0,0.0,1,97
Study_9022,0.0,0.0,0.0,0.0,0.0,1,21
Study_9107,0.0,0.0,0.0,0.0,0.0,1,24
Study_9121,0.0,0.0,0.0,0.0,0.0,1,7403
Study_9230,117.95,84.62,0.0,0.0,0.0,1,39
Study_9305,0.0,0.0,0.0,0.0,0.0,1,6
Study_9370,0.0,0.0,0.0,0.0,0.0,1,7
Study_9376,0.0,0.0,0.0,0.0,0.0,1,1050
Study_9389,0.0,0.0,0.0,0.0,0.0,1,98
Study_9436,0.0,0.0,0.0,0.0,0.0,1,135
Study_9479,0.0,0.0,0.0,0.0,0.0,2,3930
Study_9605,176.92,88.46,0.0,0.0,0.0,1,26
Study_9690,0.14,0.0,0.0,0.0,0.0,1,8502
Study_9693,200.0,160.0,0.0,0.0,0.0,1,15
Study_9782,0.3,0.0,0.0,0.0,0.0,1,4043
Study_9815,116.17,96.6,0.0,0.0,0.0,1,235
Study_9841,0.0,0.0,0.0,0.0,0.0,1,4
Study_9855,50.0,21.43,0.0,0.0,0.0,2,10646
Study_9860,0.0,0.0,0.0,0.0,0.0,1,82
Study_9908,0.82,0.62,0.0,0.0,0.0,1,487
Study_9954,0.0,0.0,0.0,0.0,0.0,1,37
Study_9996,0.0,0.0,0.0,0.0,0.0,1,38
